,A,ACAd,ACAv,AId,AIp,AIv,AL,AM,AUDd,AUDp,AUDpo,AUDv,DP,ECT,FRP,GU,ILA,LI,LLA,LM,MM,MOp,MOs,ORBl,ORBm,P,PERI,PL,PM,POR,PORa,RL,RSPagl,RSPd,RSPv,SSp-bfd,SSp-lj,SSp-ll,SSp-nm,SSp-tr,SSp-ul,SSp-un,SSs,TEa,TEp,V1,VISC
AUDpo,3.37061537523,6.67646541809,6.86839878545,6.3064065477,2.95300199568,5.15326856942,1.48474838221,3.74005421021,1.0019948667,0.701078329243,,0.794843413978,0.665875131265,0.616785034201,7.99950281468,4.82249676653,8.51386158352,0.875746729375,1.06036100834,1.24324292641,3.83067349461,5.90635778092,6.72129534962,7.5094165638,8.74353197919,1.69738800055,1.11137881739,8.60569659416,3.29764040858,0.951677739284,0.623833824834,2.29015217154,4.28919286492,4.54984934597,4.84297124809,3.00299735473,4.95735615026,4.57362537273,5.2969816907,4.0229931538,4.77995623097,3.94949380946,2.57079733307,1.13167417281,0.292843516609,2.29134595014,2.41874814722
AUDv,3.70184716973,6.68068561065,6.96060627731,5.76360158836,2.16090935277,4.47265538976,2.04716705915,4.10163018299,0.989085602912,0.578317249539,0.794843413978,,1.33526110858,0.864229173304,7.65377453054,4.22388751431,8.45367293026,1.65325418974,1.62693871178,2.00725259288,4.30037154055,5.68896368572,6.56771756383,6.98767259897,8.44115682537,2.46089165935,0.752269380076,8.41931996405,3.87193922475,1.72141422602,1.33957670745,2.72936520616,4.71351789125,4.99530508977,5.3446907052,2.86213576963,4.65159850606,4.65612130162,4.83813613089,4.23642775691,4.66908263592,3.93084284243,2.08577522803,0.449964344922,1.03769679816,3.01931955287,1.66527822595
DP,2.77181400658,6.22406119021,6.36144646945,6.3151796756,3.40271790661,5.34507221284,0.827661551123,3.1236384166,0.95491502706,0.941438592396,0.665875131265,1.33526110858,,1.24917363127,7.80067603656,4.9144199458,8.09240575899,0.464625332001,0.421103081101,0.722098085143,3.17800975002,5.6200355299,6.37744334351,7.48453110421,8.50273005415,1.56906261305,1.77536027645,8.27325101773,2.63177550701,0.930350534243,0.886499827858,1.66187442046,3.64692951142,3.90077565225,4.18187425217,2.72878293919,4.75832264078,4.09393513558,5.23211511964,3.47464637201,4.42894639062,3.54924419945,2.62135431649,1.74070488977,0.71576161594,1.68470745282,2.78202042893
ECT,3.98672289238,7.2630428567,7.4721367114,6.62321373893,2.89254342658,5.32638582546,2.07683429687,4.35388400884,1.52649634441,1.13773546001,0.616785034201,0.864229173304,1.24917363127,,8.45351779883,5.08796651346,9.08593106918,1.3128901123,1.66158612356,1.68257658197,4.42718300365,6.41953875257,7.2610745276,7.84443139195,9.22131453553,1.76682984639,0.670439297346,9.13542761686,3.86157011457,1.09891469362,0.68440031434,2.89969635959,4.89382562387,5.14969486579,5.42704848801,3.53385423667,5.42722238213,5.17264458337,5.67698642065,4.63730450458,5.33027665368,4.52431481382,2.92248317522,0.940510403863,0.566103502235,2.74982027168,2.49186941859
FRP,6.21065732363,3.4597949643,4.21036983563,2.73502887418,6.88189648444,4.61698027931,7.4538759139,6.29455682854,7.00029291039,7.33068863507,7.99950281468,7.65377453054,7.80067603656,8.45351779883,,4.07414450115,3.10177120705,8.22387329483,7.53027630853,8.26288182715,6.92561127041,2.34151823496,2.18588735161,2.07931269892,0.909586457652,9.32866945224,8.34198555281,1.86833069047,7.54102690338,8.72906138882,8.57766527381,6.90548546489,6.65343426195,6.82356736254,7.30938538875,5.07777828224,3.04626176331,4.59983651075,2.95233214084,5.46336551325,3.63111124269,4.54961181077,5.5850068736,7.87672272777,8.27149436549,8.35907986407,6.56691010481
GU,4.88554115193,5.05517408213,5.73252650489,1.60300754261,2.88494308962,0.864821835164,4.97349427809,5.21503057717,3.96273767723,4.12755666362,4.82249676653,4.22388751431,4.9144199458,5.08796651346,4.07414450115,,6.14287408069,5.37884045147,4.82773889771,5.57553486353,5.8166644894,3.17353550091,4.13052035818,2.83830137594,4.975474444,6.45538829862,4.7668527008,5.48631866263,6.01751933473,5.73341918941,5.44627512553,4.87687434275,5.86811354834,6.15880760936,6.69313036235,2.88867963017,2.13221974796,4.20530294271,1.25665370322,4.62381385691,3.2295592631,3.44881985364,2.29308114954,4.29393010931,5.11523808466,6.14297464908,2.75236466798
ILA,5.66591716321,1.90795995686,2.15092610069,5.33987952686,8.45765213692,6.91198907617,7.47757101303,5.53628691077,7.56343994974,7.97342254946,8.51386158352,8.45367293026,8.09240575899,9.08593106918,3.10177120705,6.14287408069,,8.41336260617,7.71763507225,8.31310731173,6.01387600922,3.03684887682,2.0456547285,5.08708034065,2.67578640597,9.39592216095,9.2046854522,1.36605110872,6.8040172671,8.97966733963,8.97132022757,6.69945151095,5.56583825913,5.59948835925,5.93587020093,5.59194634148,4.20702756272,4.03613597593,4.89052510703,4.81998345675,3.78841025828,4.56438127477,6.67814366818,8.80176080779,8.72861881288,8.00960432467,7.91865115807
LI,2.95433619752,6.52880228719,6.62140988522,6.77723811535,3.78523257538,5.80297539493,0.966603695589,3.27035918628,1.41781937402,1.35816764221,0.875746729375,1.65325418974,0.464625332001,1.3128901123,8.22387329483,5.37884045147,8.41336260617,,0.708194477033,0.37437154601,3.23215301807,6.01724040491,6.74687173245,7.94300650757,8.91140818769,1.11582297281,1.9367976647,8.64414777957,2.59452034923,0.570438563128,0.730619075976,1.82222600638,3.72906793167,3.9598231905,4.18638680217,3.14623037988,5.18735498516,4.38948672647,5.68742150926,3.71243658162,4.80249102685,3.90302056818,3.08581693646,2.00723868505,0.75238920554,1.44069560731,3.19633470554
LLA,2.3512657773,5.83973613121,5.95829358257,6.16760166126,3.57318491696,5.31830037022,0.42986338869,2.70274064694,0.974024526033,1.13152001295,1.06036100834,1.62693871178,0.421103081101,1.66158612356,7.53027630853,4.82773889771,7.71763507225,0.708194477033,,0.762919805258,2.77033826393,5.31181500168,6.03887312268,7.31184236434,8.20920662499,1.79839504715,2.15185155725,7.93613717686,2.25985917942,1.26402921527,1.29269765872,1.2416764643,3.23230040051,3.49022212984,3.78540809465,2.45395250965,4.50103819392,3.70377256727,5.04770345171,3.0631019883,4.09429673915,3.19626065319,2.54926979909,2.05998515026,1.13670857097,1.48216954327,2.90537200002
LM,2.76092827042,6.41626066301,6.46661323528,6.92956468767,4.11644551077,6.03942418086,0.841428250293,3.04706781609,1.64915547855,1.66210438201,1.24324292641,2.00725259288,0.722098085143,1.68257658197,8.26288182715,5.57553486353,8.31310731173,0.37437154601,0.762919805258,,2.9514910823,6.01779681236,6.70676098068,8.07466147061,8.92382911306,1.092415994,2.31106792257,8.60192788311,2.2739460077,0.799107380248,1.0680222797,1.64012074633,3.46043045784,3.67660336511,3.8744556505,3.19596991678,5.24500741588,4.27764791634,5.81017560494,3.55392387768,4.77514423325,3.85724919699,3.28787818006,2.3744121429,1.1255234518,1.06773547252,3.50381491562
